epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1570.06,0.44565,0.50543,0.97298,0.90598,0.87489,0.91079,0.81639,0.44497,0.48641,0.92291,0.000525179,0.000525179,0.000525179
43,1608.64,0.44715,0.50479,0.98284,0.88125,0.87488,0.90709,0.81058,0.43195,0.48887,0.91028,0.0005075,0.0005075,0.0005075
44,1645.18,0.43479,0.49315,0.97219,0.89406,0.87848,0.91018,0.82003,0.42773,0.46783,0.90021,0.000489821,0.000489821,0.000489821
45,1681.7,0.42949,0.51274,0.9743,0.88158,0.88918,0.90918,0.82297,0.43075,0.47325,0.90632,0.000472143,0.000472143,0.000472143
46,1718.1,0.4259,0.49349,0.97343,0.89508,0.8718,0.91186,0.82543,0.41514,0.48165,0.89878,0.000454464,0.000454464,0.000454464
47,1754.79,0.41349,0.481,0.96047,0.87508,0.9038,0.9054,0.81995,0.43307,0.49045,0.9086,0.000436786,0.000436786,0.000436786
48,1791.25,0.4294,0.49465,0.97512,0.90475,0.90221,0.91941,0.82712,0.43954,0.4649,0.91744,0.000419107,0.000419107,0.000419107
49,1829.53,0.41523,0.46871,0.96218,0.90014,0.88273,0.91457,0.83112,0.41371,0.4614,0.89337,0.000401429,0.000401429,0.000401429
50,1866.48,0.4075,0.45325,0.95781,0.90356,0.89599,0.9219,0.84078,0.40667,0.44778,0.88809,0.00038375,0.00038375,0.00038375
51,1902.41,0.39705,0.45011,0.94856,0.90123,0.88443,0.92099,0.84154,0.40545,0.44098,0.8869,0.000366071,0.000366071,0.000366071
52,1938.16,0.40115,0.45263,0.9563,0.90374,0.90128,0.92196,0.84223,0.40513,0.44532,0.89054,0.000348393,0.000348393,0.000348393
53,1973.9,0.40062,0.4534,0.96134,0.88614,0.89428,0.92041,0.84149,0.39578,0.45234,0.88579,0.000330714,0.000330714,0.000330714
54,2009.05,0.39867,0.45398,0.95234,0.90328,0.88779,0.92,0.84243,0.39132,0.44103,0.88525,0.000313036,0.000313036,0.000313036
55,2044.96,0.37748,0.42475,0.93841,0.88387,0.89621,0.92072,0.84624,0.3812,0.44941,0.87565,0.000295357,0.000295357,0.000295357
